VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-12-08 09:01:37,2016-12-08 09:13:43,1,3.10,1,N,239,42,1,11.5,0,0.5,2.45,0,0.3,14.75
1,2016-12-05 11:50:09,2016-12-05 12:11:45,1,2.90,1,N,166,263,1,15.5,0,0.5,4.85,0,0.3,21.15
1,2016-12-15 00:01:48,2016-12-15 00:18:25,1,4.50,1,N,230,74,1,16,0.5,0.5,4,0,0.3,21.3
1,2016-12-30 05:17:15,2016-12-30 05:19:48,1,.70,1,N,142,48,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2016-12-30 22:47:58,2016-12-30 23:00:53,1,2.30,1,N,170,249,1,10.5,0.5,0.5,2.35,0,0.3,14.15
2,2016-12-11 13:20:54,2016-12-11 13:31:45,1,.92,1,N,43,229,2,7.5,0,0.5,0,0,0.3,8.3
1,2016-12-30 19:28:02,2016-12-30 19:35:58,1,1.20,1,N,144,107,1,7.5,1,0.5,1.85,0,0.3,11.15
1,2016-12-22 22:55:25,2016-12-22 23:38:32,1,16.20,1,N,231,175,3,50,0.5,0.5,0,0,0.3,51.3
1,2016-12-27 13:36:02,2016-12-27 13:53:38,1,3.60,1,N,262,186,1,15,0,0.5,3.15,0,0.3,18.95
2,2016-12-09 14:47:44,2016-12-09 15:00:44,1,1.65,1,N,230,239,1,10,0,0.5,1.62,0,0.3,12.42
1,2016-12-09 07:19:24,2016-12-09 07:21:37,1,.70,1,N,262,75,2,4,0,0.5,0,0,0.3,4.8
2,2016-12-09 14:57:20,2016-12-09 15:11:42,2,1.57,1,N,90,90,1,10.5,0,0.5,2.26,0,0.3,13.56
1,2016-12-09 13:09:35,2016-12-09 13:19:34,1,1.00,1,N,230,50,1,8,0,0.5,1.06,0,0.3,9.86
2,2016-12-20 15:02:14,2016-12-20 15:14:17,2,.67,1,N,48,68,1,8.5,0,0.5,1.86,0,0.3,11.16
1,2016-12-21 16:10:02,2016-12-21 16:23:10,1,2.40,1,N,142,236,1,11,1,0.5,1,0,0.3,13.8
2,2016-12-30 14:06:17,2016-12-30 14:20:54,1,1.07,1,N,234,79,1,10,0,0.5,2.7,0,0.3,13.5
2,2016-12-16 07:11:57,2016-12-16 07:29:52,1,4.04,1,N,13,162,1,15.5,0,0.5,3.26,0,0.3,19.56
